Name,Aa-T,Aa-A,Aa-EN,Aa-RI,Aa-VE,Aa-CR,Aa-MO,Aa-MMt,Ab-T,Ab-A,Ab-EN,Ab-RI,Ab-VE,Ab-CR,Ab-MO,Ab-MMt,Ba-T,Ba-A,Ba-EN,Ba-RI,Ba-VE,Ba-CR,Ba-MO,Ba-MMt,Bb-T,Bb-A,Bb-EN,Bb-RI,Bb-VE,Bb-CR,Bb-MO,Bb-MMt,O-2p,M-oct,M-tetra,Hybri(O-Moct),Hybri(O-Mtet),weak-hybri
[Co0.5Mn0.5]Mn2O4,Co,0.5,1.88,79,9,2.3,-0.56,-1.206,Mn,0.5,1.55,81,7,2.3,-0.666,1.014,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-3.11,-1.025,-2.956,2.085,0.154,2.085
[Co0.5Li0.5]Mn2O4,Co,0.5,1.88,79,9,2.3,-0.56,-1.206,Li,0.5,0.98,90,1,2.05,0.217,6.647,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-1.824,-0.409,-1.447,1.415,0.377,1.415
[Co0.5Mg0.5]Mn2O4,Co,0.5,1.88,79,9,2.3,-0.56,-1.206,Mg,0.5,1.31,86,2,2,2.939,10.736,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-1.836,-0.437,-1.634,1.399,0.202,1.399
[Co0.5Zn0.5]Mn2O4,Co,0.5,1.88,79,9,2.3,-0.56,-1.206,Zn,0.5,1.65,88,12,2.3,-0.106,-5.304,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-2.003,-0.475,-4.702,1.528,2.699,2.699
[Fe0.5Co0.5]Mn2O4,Fe,0.5,1.83,75,8,2.3,-1.609,-1.195,Co,0.5,1.88,79,9,2.3,-0.56,-1.206,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-2.314,-0.798,-2.827,1.516,0.513,1.516
[Fe0.5Cu0.5]Mn2O4,Fe,0.5,1.83,75,8,2.3,-1.609,-1.195,Cu,0.5,1.9,87,11,2.3,-0.862,-1.896,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-2.25,-0.638,-2.938,1.612,0.688,1.612
[Fe0.5Li0.5]Mn2O4,Fe,0.5,1.83,75,8,2.3,-1.609,-1.195,Li,0.5,0.98,90,1,2.05,0.217,6.647,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-1.819,-0.68,-5.127,1.139,3.308,3.308
[Fe0.5Mg0.5]Mn2O4,Fe,0.5,1.83,75,8,2.3,-1.609,-1.195,Mg,0.5,1.31,86,2,2,2.939,10.736,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-3.183,-0.587,-3.856,2.596,0.673,2.596
[Fe0.5Zn0.5]Mn2O4,Fe,0.5,1.83,75,8,2.3,-1.609,-1.195,Zn,0.5,1.65,88,12,2.3,-0.106,-5.304,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-3.061,-0.907,-5.443,2.154,2.382,2.382
Zn[Fe0.125Co1.875]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Fe,0.125,1.83,69,8,2.3,-2.231,-2.167,Co,1.875,1.88,68.5,9,2.3,-0.351,-1.176,-1.522,-0.8,-5.645,0.722,4.123,4.123
Zn[Fe0.25Co1.75]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Fe,0.25,1.83,69,8,2.3,-2.231,-2.167,Co,1.75,1.88,68.5,9,2.3,-0.351,-1.176,-1.546,-1.155,-5.988,0.391,4.442,4.442
Zn[Fe0.375Co1.625]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Fe,0.375,1.83,69,8,2.3,-2.231,-2.167,Co,1.625,1.88,68.5,9,2.3,-0.351,-1.176,-1.486,-1.078,-5.97,0.408,4.484,4.484
Zn[Fe0.5Co1.5]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Fe,0.5,1.83,69,8,2.3,-2.231,-2.167,Co,1.5,1.88,68.5,9,2.3,-0.351,-1.176,-1.97,-1.659,-6.32,0.311,4.35,4.35
Zn[Fe0.625Co1.375]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Fe,0.625,1.83,69,8,2.3,-2.231,-2.167,Co,1.375,1.88,68.5,9,2.3,-0.351,-1.176,-1.377,-0.986,-5.924,0.391,4.547,4.547
Zn[Fe0.75Co1.25]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Fe,0.75,1.83,69,8,2.3,-2.231,-2.167,Co,1.25,1.88,68.5,9,2.3,-0.351,-1.176,-1.57,-1.646,-6.056,0.076,4.486,4.486
Zn[Fe0.875Co1.125]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Fe,0.875,1.83,69,8,2.3,-2.231,-2.167,Co,1.125,1.88,68.5,9,2.3,-0.351,-1.176,-2.644,-2.698,-7.135,0.054,4.491,4.491
Zn[FeCo]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Fe,1,1.83,69,8,2.3,-2.231,-2.167,Co,1,1.88,68.5,9,2.3,-0.351,-1.176,-1.562,-1.894,-6.172,0.332,4.61,4.61
Zn[Fe1.125Co0.875]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Fe,1.125,1.83,69,8,2.3,-2.231,-2.167,Co,0.875,1.88,68.5,9,2.3,-0.351,-1.176,-1.491,-2.419,-6.072,0.928,4.581,4.581
Zn[Fe1.25Co0.75]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Fe,1.25,1.83,69,8,2.3,-2.231,-2.167,Co,0.75,1.88,68.5,9,2.3,-0.351,-1.176,-1.738,-2.448,-6.424,0.71,4.686,4.686
Zn[Fe1.375Co0.625]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Fe,1.375,1.83,69,8,2.3,-2.231,-2.167,Co,0.625,1.88,68.5,9,2.3,-0.351,-1.176,-1.374,-2.571,-6.043,1.197,4.669,4.669
Zn[Fe1.5Co0.5]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Fe,1.5,1.83,69,8,2.3,-2.231,-2.167,Co,0.5,1.88,68.5,9,2.3,-0.351,-1.176,-1.422,-2.744,-5.981,1.322,4.559,4.559
Zn[Fe1.625Co0.375]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Fe,1.625,1.83,69,8,2.3,-2.231,-2.167,Co,0.375,1.88,68.5,9,2.3,-0.351,-1.176,-1.263,-1.854,-5.865,0.591,4.602,4.602
Zn[Fe1.75Co0.25]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Fe,1.75,1.83,69,8,2.3,-2.231,-2.167,Co,0.25,1.88,68.5,9,2.3,-0.351,-1.176,-1.415,-2.495,-6.077,1.08,4.662,4.662
Zn[Fe1.875Co0.125]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Fe,1.875,1.83,69,8,2.3,-2.231,-2.167,Co,0.125,1.88,68.5,9,2.3,-0.351,-1.176,-1.197,-2.125,-5.818,0.928,4.621,4.621
ZnFe2O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Fe,2,1.83,69,8,2.3,-2.231,-2.167,0,0,0,0,0,0,0,0,-1.728,-2.203,-5.845,0.475,4.117,4.117
Zn[Ni0.25Co1.75]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Ni,0.25,1.92,70,10,2.3,0.375,-2.236,Co,1.75,1.88,68.5,9,2.3,-0.351,-1.176,-1.522,-1.067,-5.888,0.455,4.366,4.366
Zn[Ni0.375Co1.625]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Ni,0.375,1.92,70,10,2.3,0.375,-2.236,Co,1.625,1.88,68.5,9,2.3,-0.351,-1.176,-0.971,-1.327,-6.32,0.356,5.349,5.349
Zn[Ni0.625Co1.375]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Ni,0.625,1.92,70,10,2.3,0.375,-2.236,Co,1.375,1.88,68.5,9,2.3,-0.351,-1.176,-0.994,-1.675,-6.082,0.681,5.088,5.088
Zn[Ni0.75Co1.25]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Ni,0.75,1.92,70,10,2.3,0.375,-2.236,Co,1.25,1.88,68.5,9,2.3,-0.351,-1.176,-0.695,-1.496,-5.74,0.801,5.045,5.045
Zn[Ni1.135Co0.625]O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Ni,1.135,1.92,70,10,2.3,0.375,-2.236,Co,0.625,1.88,68.5,9,2.3,-0.351,-1.176,-0.594,-2.031,-5.534,1.437,4.94,4.94
ZnNi2O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Ni,2,1.92,70,10,2.3,0.375,-2.236,0,0,0,0,0,0,0,0,-0.431,-2.768,-5.752,2.337,5.321,5.321
V[Co]O4,V,1,1.63,93,5,2.7,-5.036,-0.265,0,0,0,0,0,0,0,0,Co,1,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-1.73,-1.684,0.837,1.73,1.684,1.73
V[Ni]O4,V,1,1.63,93,5,2.7,-5.036,-0.265,0,0,0,0,0,0,0,0,Ni,1,1.92,70,10,2.3,0.375,-2.236,0,0,0,0,0,0,0,0,-0.589,-2.421,1.799,0.589,2.421,2.421
VMn2O4,V,1,1.63,93,5,2.7,-5.036,-0.265,0,0,0,0,0,0,0,0,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-3.5,-0.309,0.223,3.5,0.309,3.5
NaMn2O4,Na,1,0.93,116,1,2.2,0.145,6.925,0,0,0,0,0,0,0,0,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-1.078,-0.618,0.5,1.078,0.618,1.078
CrMn2O4,Cr,1,1.66,87,6,2.5,-3.695,0.662,0,0,0,0,0,0,0,0,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-3.524,-0.557,-0.93,3.524,0.557,3.524
ScMn2O4,Sc,1,1.36,88.5,3,2.5,-5.079,1.046,0,0,0,0,0,0,0,0,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-2.684,-0.25,3.233,2.684,0.25,2.684
TiMn2O4,Ti,1,1.54,100,4,2.8,-4.853,0.97,0,0,0,0,0,0,0,0,Mn,2,1.55,72,7,2.3,-0.687,0.532,0,0,0,0,0,0,0,0,-2.973,0.433,-0.258,2.973,0.433,2.973
TiCo2O4,Ti,1,1.54,100,4,2.8,-4.853,0.97,0,0,0,0,0,0,0,0,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-2.343,-1.059,1.2,2.343,1.059,2.343
CrCo2O4,Cr,1,1.66,87,6,2.5,-3.695,0.662,0,0,0,0,0,0,0,0,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-2.521,-1.457,-0.531,2.521,1.457,2.521
MnTi2O4,Mn,1,1.55,81,7,2.3,-0.666,1.014,0,0,0,0,0,0,0,0,Ti,2,1.54,81,4,2.8,-4.571,1.261,0,0,0,0,0,0,0,0,-3.507,-3.613,0.008,0.106,3.515,3.515
TiCo2O4,Ti,1,1.54,100,4,2.8,-4.853,0.97,0,0,0,0,0,0,0,0,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-2.343,-1.059,1.2,1.284,3.543,3.543
FeCr2O4,Fe,1,1.83,75,8,2.3,-1.609,-1.195,0,0,0,0,0,0,0,0,Cr,2,1.66,75.5,6,2.5,-3.695,0.662,0,0,0,0,0,0,0,0,-2.863,0.656,-1.074,3.519,1.789,3.519
ZnCr2O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Cr,2,1.66,75.5,6,2.5,-3.695,0.662,0,0,0,0,0,0,0,0,-1.836,1.64,-5.986,3.476,4.15,4.15
[Ti0.125Co0.875]Co2O4,Ti,0.125,1.54,100,4,2.8,-4.853,0.97,Co,0.875,1.88,79,9,2.3,-0.56,-1.206,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-2.876,-2.179,-1.732,0.697,1.144,1.144
[Ti0.875Co0.125]Co2O4,Ti,0.875,1.54,100,4,2.8,-4.853,0.97,Co,0.125,1.88,79,9,2.3,-0.56,-1.206,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-2.222,-1.174,0.604,1.048,2.826,2.826
Co[Ti0.25Co1.75]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Ti,0.25,1.54,81,4,2.8,-4.571,1.261,Co,1.75,1.88,68.5,9,2.3,-0.351,-1.176,-2.565,-1.499,-2.081,1.066,0.484,1.066
Co[Ti1.75Co0.25]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Ti,1.75,1.54,81,4,2.8,-4.571,1.261,Co,0.25,1.88,68.5,9,2.3,-0.351,-1.176,-3.288,0.782,-2.439,4.07,0.849,4.07
[V0.125Co0.875]Co2O4,V,0.125,1.63,93,5,2.7,-5.036,-0.265,Co,0.875,1.88,79,9,2.3,-0.56,-1.206,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-2.997,-2.19,-2.028,0.807,0.969,0.969
[V0.875Co0.125]Co2O4,V,0.875,1.63,93,5,2.7,-5.036,-0.265,Co,0.125,1.88,79,9,2.3,-0.56,-1.206,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-3.239,-1.953,0.459,1.286,3.698,3.698
Co[V0.25Co1.75]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,V,0.25,1.63,78,5,2.7,-5.052,0.264,Co,1.75,1.88,68.5,9,2.3,-0.351,-1.176,-2.057,-1.152,-1.82,0.905,0.237,0.905
Co[V1.75Co0.25]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,V,1.75,1.63,78,5,2.7,-5.052,0.264,Co,0.25,1.88,68.5,9,2.3,-0.351,-1.176,-3.142,0.506,-1.888,3.648,1.254,3.648
[Cr0.125Co0.875]Co2O4,Cr,0.125,1.66,87,6,2.5,-3.695,0.662,Co,0.875,1.88,79,9,2.3,-0.56,-1.206,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-2.441,-1.692,-1.714,0.749,0.727,0.749
[Cr0.875Co0.125]Co2O4,Cr,0.875,1.66,87,6,2.5,-3.695,0.662,Co,0.125,1.88,79,9,2.3,-0.56,-1.206,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-2.828,-1.858,-0.984,0.97,1.844,1.844
Co[Cr0.25Co1.75]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Cr,0.25,1.66,75.5,6,2.5,-3.695,0.662,Co,1.75,1.88,68.5,9,2.3,-0.351,-1.176,-1.74,-0.866,-1.266,0.874,0.474,0.874
Co[Cr1.75Co0.25]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Cr,1.75,1.66,75.5,6,2.5,-3.695,0.662,Co,0.25,1.88,68.5,9,2.3,-0.351,-1.176,-2.503,0.468,-1.769,2.971,0.734,2.971
[Mn0.125Co0.875]Co2O4,Mn,0.125,1.55,81,7,2.3,-0.666,1.014,Co,0.875,1.88,79,9,2.3,-0.56,-1.206,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-1.537,-0.938,-0.776,0.599,0.761,0.761
[Mn0.875Co0.125]Co2O4,Mn,0.875,1.55,81,7,2.3,-0.666,1.014,Co,0.125,1.88,79,9,2.3,-0.56,-1.206,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-2.593,-2.016,0.351,0.577,2.944,2.944
Co[Mn0.25Co1.75]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Mn,0.25,1.55,72,7,2.3,-0.687,0.532,Co,1.75,1.88,68.5,9,2.3,-0.351,-1.176,-1.746,-0.996,-1.322,0.75,0.424,0.75
Co[Mn1.75Co0.25]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Mn,1.75,1.55,72,7,2.3,-0.687,0.532,Co,0.25,1.88,68.5,9,2.3,-0.351,-1.176,-2.651,-0.756,-2.05,1.895,0.601,1.895
[Fe0.125Co0.875]Co2O4,Fe,0.125,1.83,75,8,2.3,-1.609,-1.195,Co,0.875,1.88,79,9,2.3,-0.56,-1.206,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-2.006,-1.261,-1.315,0.745,0.691,0.745
[Fe0.875Co0.125]Co2O4,Fe,0.875,1.83,75,8,2.3,-1.609,-1.195,Co,0.125,1.88,79,9,2.3,-0.56,-1.206,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-2.306,-1.559,-0.753,0.747,1.553,1.553
Co[Fe0.25Co1.75]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Fe,0.25,1.83,69,8,2.3,-2.231,-2.167,Co,1.75,1.88,68.5,9,2.3,-0.351,-1.176,-1.84,-1.189,-1.506,0.651,0.334,0.651
Co[Fe1.75Co0.25]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Fe,1.75,1.83,69,8,2.3,-2.231,-2.167,Co,0.25,1.88,68.5,9,2.3,-0.351,-1.176,-2.739,-1.309,-2.018,1.43,0.721,1.43
[Ni0.125Co0.875]Co2O4,Ni,0.125,1.92,83,10,2.3,0.212,-2.225,Co,0.875,1.88,79,9,2.3,-0.56,-1.206,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-1.356,-0.683,-1.163,0.673,0.193,0.673
[Ni0.875Co0.125]Co2O4,Ni,0.875,1.92,83,10,2.3,0.212,-2.225,Co,0.125,1.88,79,9,2.3,-0.56,-1.206,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-1.603,-0.744,-2.593,0.859,0.99,0.99
Co[Ni0.25Co1.75]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Ni,0.25,1.92,70,10,2.3,0.375,-2.236,Co,1.75,1.88,68.5,9,2.3,-0.351,-1.176,-1.565,-1.097,-1.398,0.468,0.167,0.468
Co[Ni1.75Co0.25]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Ni,1.75,1.92,70,10,2.3,0.375,-2.236,Co,0.25,1.88,68.5,9,2.3,-0.351,-1.176,-1.253,-2.556,-1.288,1.303,0.035,1.303
[Cu0.125Co0.875]Co2O4,Cu,0.125,1.9,87,11,2.3,-0.862,-1.896,Co,0.875,1.88,79,9,2.3,-0.56,-1.206,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-1.644,-1.021,-1.272,0.623,0.372,0.623
[Cu0.875Co0.125]Co2O4,Cu,0.875,1.9,87,11,2.3,-0.862,-1.896,Co,0.125,1.88,79,9,2.3,-0.56,-1.206,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-1.843,-1.086,-1.825,0.757,0.018,0.757
Co[Cu0.25Co1.75]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Cu,0.25,1.9,87,11,2.3,-0.525,-1.828,Co,1.75,1.88,68.5,9,2.3,-0.351,-1.176,-1.525,-1.22,-1.125,0.305,0.4,0.4
Co[Cu1.75Co0.25]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Cu,1.75,1.9,87,11,2.3,-0.525,-1.828,Co,0.25,1.88,68.5,9,2.3,-0.351,-1.176,-0.678,-2.738,-1.376,2.06,0.698,2.06
[Zn0.125Co0.875]Co2O4,Zn,0.125,1.65,88,12,2.3,-0.106,-5.304,Co,0.875,1.88,79,9,2.3,-0.56,-1.206,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-1.471,-0.776,-1.518,0.695,0.047,0.695
[Zn0.875Co0.125]Co2O4,Zn,0.875,1.65,88,12,2.3,-0.106,-5.304,Co,0.125,1.88,79,9,2.3,-0.56,-1.206,Co,2,1.88,68.5,9,2.3,-0.351,-1.176,0,0,0,0,0,0,0,0,-1.338,-0.638,-5.214,0.7,3.876,3.876
Co[Zn0.25Co1.75]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Zn,0.25,1.65,88,12,2.3,0.601,-6.057,Co,1.75,1.88,68.5,9,2.3,-0.351,-1.176,-1.443,-1.996,-1.002,0.553,0.441,0.553
Co[Zn1.75Co0.25]O4,Co,1,1.88,79,9,2.3,-0.56,-1.206,0,0,0,0,0,0,0,0,Zn,1.75,1.65,88,12,2.3,0.601,-6.057,Co,0.25,1.88,68.5,9,2.3,-0.351,-1.176,-0.257,-5.104,-2.174,4.847,1.917,4.847
LiLi2O4,Li,1,0.98,90,1,2.05,0.217,6.647,0,0,0,0,0,0,0,0,Li,2,0.98,90,1,2.05,0.88,8.847,0,0,0,0,0,0,0,0,-0.396,9.133,9.191,9.529,9.587,9.587
NiNi2O4,Ni,1,1.92,83,10,2.3,0.212,-2.225,0,0,0,0,0,0,0,0,Ni,2,1.92,70,10,2.3,0.375,-2.236,0,0,0,0,0,0,0,0,-1.122,-2.858,-4.085,1.736,2.963,2.963
ZnZn2O4,Zn,1,1.65,88,12,2.3,-0.106,-5.304,0,0,0,0,0,0,0,0,Zn,2,1.65,88,12,2.3,0.601,-6.057,0,0,0,0,0,0,0,0,0.591,-5.907,-5.177,6.498,5.768,6.498
